anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2015;1;1. el Raval;880;5932;3732;3300;4563;443;9031;4966;3909;4455
2015;1;2. el Barri Gotic;268;1170;977;1515;2721;124;1567;1323;1713;2534
2015;1;3. la Barceloneta;553;1786;1444;1259;1839;244;1782;1726;1438;1560
2015;1;4. Sant Pere, Santa Caterina i la Ribera;470;2020;1464;2067;4002;190;2225;1807;2263;3480
2015;2;5. el Fort Pienc;571;2490;2690;3655;5462;290;1767;2341;3808;4637
2015;2;6. la Sagrada Familia;1125;4698;4728;5887;8576;539;2861;4103;6112;6992
2015;2;7. la Dreta de l'Eixample;615;2345;2716;5113;9882;279;1338;2106;4670;8727
2015;2;8. l'Antiga Esquerra de l'Eixample;647;2568;2898;5039;8817;313;1452;2352;4845;7884
2015;2;9. la Nova Esquerra de l'Eixample;953;4475;4704;6937;10664;444;2679;3922;7009;9341
2015;2;10. Sant Antoni;866;3598;3397;4159;6046;361;2557;3105;4570;5306
2015;3;11. el Poble Sec - AEI Parc Montjuic;1025;5002;3744;3604;4588;446;4893;4265;3985;3685
2015;3;12. la Marina del Prat Vermell - AEI Zona Franca;55;231;127;53;26;22;227;181;55;16
2015;3;13. la Marina de Port;951;4400;3318;2896;1932;514;3701;3561;3105;1424
2015;3;14. la Font de la Guatlla;272;1091;1030;1097;1411;134;824;979;1227;1107
2015;3;15. Hostafrancs;334;1781;1539;1615;2084;196;1489;1526;1730;1695
2015;3;16. la Bordeta;510;2192;1953;2062;1872;251;1620;1983;2225;1489
2015;3;17. Sants - Badal;693;3039;2486;2515;2690;351;2304;2410;2674;2124
2015;3;18. Sants;998;4154;3722;4396;5961;485;3207;3675;4676;4706
2015;4;19. les Corts;812;3226;3600;5748;8414;413;1984;2811;5448;7796
2015;4;20. la Maternitat i Sant Ramon;526;2014;1973;2804;3970;276;1238;1652;2825;3556
2015;4;21. Pedralbes;107;495;712;1544;2411;63;242;439;1224;2559
2015;5;22. Vallvidrera, el Tibidabo i les Planes;88;230;268;506;820;44;180;302;488;747
2015;5;23. Sarria;335;1136;1398;2840;5211;191;619;976;2416;4774
2015;5;24. les Tres Torres;151;588;842;2273;3524;133;252;529;1773;3464
2015;5;25. Sant Gervasi - la Bonanova;307;1031;1525;3445;5305;170;650;971;2773;5015
2015;5;26. Sant Gervasi - Galvany;509;1881;2738;6622;10352;319;956;1701;4796;9639
2015;5;27. el Putxet i el Farro;358;1234;1870;3838;6400;219;668;1390;3263;5506
2015;6;28. Vallcarca i els Penitents;305;1066;1232;1794;2832;146;695;1115;1794;2291
2015;6;29. el Coll;169;658;697;841;1018;90;495;661;843;798
2015;6;30. la Salut;236;960;1064;1573;2513;127;599;876;1576;1993
2015;6;31. la Vila de Gracia;977;3792;3593;5276;10989;425;2564;3286;5428;8137
2015;6;32. el Camp d'en Grassot i Gracia Nova;618;2579;2845;4008;6355;300;1531;2401;4123;5131
2015;7;33. el Baix Guinardo;698;2410;2489;3068;3642;319;1500;2264;3151;2953
