anny;districte;nom;visites;prestecs
2014;1;Biblioteca Barceloneta - La Fraternitat;85968;76226
2014;1;Biblioteca Francesca Bonnemaison;162900;147954
2014;1;Biblioteca Gòtic - Andreu Nin;94148;66009
2014;1;Biblioteca Sant Pau i Santa Creu;194983;101266
2014;2;Biblioteca Esquerra de l'Eixample-Agustí Centelles;325978;223430
2014;2;Biblioteca Fort Pienc;200049;113874
2014;2;Biblioteca Joan Miró;98453;64210
2014;2;Biblioteca Sagrada Família;351177;268064
2014;2;Biblioteca Sant Antoni - Joan Oliver;139796;103949
2014;2;Biblioteca Sofia Barat;99842;72131
2014;3;Biblioteca Francesc Candel;132695;101905
2014;3;Biblioteca Poble Sec - Francesc Boix;99009;74196
2014;3;Biblioteca Vapor Vell;295238;175356
2014;4;Biblioteca Can Rosés;112812;60440
2014;4;Biblioteca Les Corts - Miquel Llongueras;183077;100417
2014;5;Biblioteca Clarà;95291;80747
2014;5;Biblioteca Collserola - Josep Miracle;33079;27681
2014;5;Biblioteca Sant Gervasi - Joan Maragall;118054;70247
2014;6;Biblioteca Jaume Fuster;634776;305237
2014;6;Biblioteca Vallcarca i els Penitents;69560;49259
2014;6;Biblioteca Vila de Gràcia;215521;150931
2014;7;Biblioteca El Carmel - Juan Marsé;157847;107504
2014;7;Biblioteca Guinardó - Mercè Rodoreda;235099;149854
2014;7;Biblioteca Horta - Can Mariner;184004;107491
2014;7;Biblioteca Montbau - Albert Pérez Baró;21043;20009
2014;8;Biblioteca Canyelles;22168;16043
2014;8;Biblioteca Les Roquetes;86573;52207
2014;8;Biblioteca Nou Barris;267394;134233
2014;8;Biblioteca Vilapicina i la Torre Llobeta;142744;101822
2014;8;Biblioteca Zona Nord;81436;47532
2014;9;Biblioteca Bon Pastor;87136;47660
2014;9;Biblioteca Ignasi Iglésias - Can Fabra;409758;251295
2014;9;Biblioteca La Sagrera - Marina Clotet;83455;67266
2014;9;Biblioteca Trinitat Vella - J. Barbero;97284;26001
2014;10;Biblioteca Camp de l'Arpa - Caterina Albert;205141;134018
2014;10;Biblioteca El Clot - Josep Benet;158018;91370
2014;10;Biblioteca Poblenou - Manuel Arranz;199108;147468
2014;10;Biblioteca Ramon d'Alòs-Moner;41980;32642
2014;10;Biblioteca Sant Martí de Provençals;58548;49302
2014;10;Biblioteca Xavier Benguerel;152152;126399
2013;1;Biblioteca Barceloneta - La Fraternitat;96565;82149
2013;1;Biblioteca Francesca Bonnemaison;152830;143810
2013;1;Biblioteca Gòtic - Andreu Nin;102212;74800
2013;1;Biblioteca Sant Pau i Santa Creu;199557;107119
2013;2;Biblioteca Esquerra de l'Eixample-Agustí Centelles;98446;72166
2013;2;Biblioteca Fort Pienc;211364;132299
2013;2;Biblioteca Joan Miró;186529;143534
2013;2;Biblioteca Sagrada Família;380454;283973
2013;2;Biblioteca Sant Antoni - Joan Oliver;173802;115586
2013;2;Biblioteca Sofia Barat;107979;81287
2013;3;Biblioteca Francesc Candel;144878;108576
2013;3;Biblioteca Poble Sec - Francesc Boix;100404;78584
2013;3;Biblioteca Vapor Vell;320026;180836
2013;4;Biblioteca Can Rosés;112946;72318
2013;4;Biblioteca Les Corts - Miquel Llongueras;182345;111226
2013;5;Biblioteca Clarà;100666;99357
2013;5;Biblioteca Collserola - Josep Miracle;38387;30901
2013;6;Biblioteca Jaume Fuster;687325;335493
2013;6;Biblioteca Vallcarca i els Penitents;65931;50565
2013;6;Biblioteca Vila de Gràcia;234737;163429
